Title,id,Samling,Nr,Titel,Dato,Date,doc_id,Name,Year,Parti,Period,.groups
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:16:00Z,3053,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:17:00Z,3054,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
Carsten Kissmeyer,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:17:00Z,3055,Carsten Kissmeyer,2020,Venstre,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:17:00Z,3057,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Kristian Thulesen Dahl,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T11:16:00Z,3058,Kristian Thulesen Dahl,2020,Dansk Folkeparti,2019-,52
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:18:00Z,3059,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
Jens Rohde,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:36:00Z,306,Jens Rohde,2020,Radikale Venstre,2019-,52
Carsten Kissmeyer,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:19:00Z,3060,Carsten Kissmeyer,2020,Venstre,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:19:00Z,3062,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:20:00Z,3063,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
Kim Valentin,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:20:00Z,3064,Kim Valentin,2020,Venstre,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:21:00Z,3066,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Kim Valentin,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:22:00Z,3068,Kim Valentin,2020,Venstre,2019-,52
Pernille Vermund,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:36:00Z,307,Pernille Vermund,2020,x - Nye Borgerlige,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:22:00Z,3071,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:23:00Z,3072,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
Erling Bonnesen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:23:00Z,3073,Erling Bonnesen,2020,Venstre,2019-,52
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:29:00Z,3074,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:29:00Z,3075,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Erling Bonnesen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:30:00Z,3077,Erling Bonnesen,2020,Venstre,2019-,52
Pia Kjærsgaard,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:31:00Z,3078,Pia Kjærsgaard,2020,Dansk Folkeparti,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:31:00Z,3079,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Mette Frederiksen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:38:00Z,308,Mette Frederiksen,2020,Socialdemokratiet,2019-,53
Jacob Mark,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T11:16:00Z,3080,Jacob Mark,2020,Socialistisk Folkeparti,2019-,53
Erling Bonnesen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:31:00Z,3082,Erling Bonnesen,2020,Venstre,2019-,53
Pia Kjærsgaard,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:32:00Z,3083,Pia Kjærsgaard,2020,Dansk Folkeparti,2019-,53
Carl Valentin,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:32:00Z,3084,Carl Valentin,2020,Socialistisk Folkeparti,2019-,53
Erling Bonnesen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:33:00Z,3086,Erling Bonnesen,2020,Venstre,2019-,53
Pia Kjærsgaard,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:34:00Z,3087,Pia Kjærsgaard,2020,Dansk Folkeparti,2019-,53
Carl Valentin,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:34:00Z,3088,Carl Valentin,2020,Socialistisk Folkeparti,2019-,53
Jens Rohde,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:39:00Z,309,Jens Rohde,2020,Radikale Venstre,2019-,53
Erling Bonnesen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:35:00Z,3090,Erling Bonnesen,2020,Venstre,2019-,53
Rosa Lund,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T11:16:00Z,3091,Rosa Lund,2020,Enhedslisten,2019-,53
Pia Kjærsgaard,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:35:00Z,3092,Pia Kjærsgaard,2020,Dansk Folkeparti,2019-,53
Peder Hvelplund,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:35:00Z,3093,Peder Hvelplund,2020,Enhedslisten,2019-,53
Erling Bonnesen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:35:00Z,3094,Erling Bonnesen,2020,Venstre,2019-,53
Pia Kjærsgaard,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:37:00Z,3095,Pia Kjærsgaard,2020,Dansk Folkeparti,2019-,53
Peder Hvelplund,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:38:00Z,3096,Peder Hvelplund,2020,Enhedslisten,2019-,53
Erling Bonnesen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:39:00Z,3098,Erling Bonnesen,2020,Venstre,2019-,53
Pia Kjærsgaard,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:39:00Z,3099,Pia Kjærsgaard,2020,Dansk Folkeparti,2019-,53
Henrik Dam Kristensen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T19:42:00Z,31,Henrik Dam Kristensen,2020,Socialdemokratiet,2019-,53
Pernille Vermund,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:39:00Z,310,Pernille Vermund,2020,x - Nye Borgerlige,2019-,53
